country,country_code,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Palau,PLW,East Asia & Pacific,"(9769.0, nan, nan)","(10046.0, nan, nan)","(10329.0, nan, nan)","(10566.0, nan, nan)","(10792.0, nan, nan)","(11005.0, nan, nan)","(11178.0, nan, nan)","(11329.0, nan, nan)","(11460.0, nan, nan)","(11617.0, nan, nan)","(11803.0, nan, nan)","(12051.0, nan, nan)","(12342.0, nan, nan)","(12625.0, nan, nan)","(12823.0, nan, nan)","(12898.0, nan, nan)","(12835.0, nan, nan)","(12646.0, nan, nan)","(12409.0, nan, nan)","(12231.0, nan, nan)","(12178.0, nan, nan)","(12281.0, nan, nan)","(12519.0, nan, nan)","(12842.0, nan, nan)","(13190.0, nan, nan)","(13534.0, nan, nan)","(13835.0, nan, nan)","(14121.0, nan, nan)","(14400.0, nan, nan)","(14704.0, nan, nan)","(15063.0, nan, 69.0692682926829)","(15442.0, nan, nan)","(15859.0, nan, nan)","(16285.0, nan, nan)","(16735.0, nan, nan)","(17158.0, nan, 71.8446341463415)","(17599.0, nan, nan)","(18016.0, nan, nan)","(18409.0, nan, nan)","(18773.0, nan, nan)","(19104.0, 7657.95121440536, 70.4936585365854)","(19390.0, 8092.20732336256, nan)","(19642.0, 8307.95743814276, nan)","(19812.0, 7771.20936805976, nan)","(19861.0, 8317.11394189618, nan)","(19784.0, 9626.61241407198, 69.1292682926829)","(19545.0, 9843.04937324124, nan)","(19159.0, 10381.4238738974, nan)","(18708.0, 10598.8828308745, nan)","(18290.0, 10252.7501366867, nan)","(17954.0, 10356.6336192492, nan)","(17748.0, 11094.8332206446, nan)","(17635.0, 12044.1054720726, nan)","(17603.0, 12561.3361358859, nan)","(17625.0, 13711.7617021277, nan)","(17665.0, 15876.4619303708, nan)","(17718.0, 16653.4258945705, nan)","(17809.0, 16065.2928294682, nan)","(17911.0, 15657.1771537044, nan)","(18001.0, 14907.777345703, nan)","(18092.0, nan, nan)"
Papua New Guinea,PNG,East Asia & Pacific,"(2255858.0, 102.176658717533, 38.935)","(2297052.0, 106.585325466087, 39.542)","(2340349.0, 111.600465303381, 40.167)","(2385943.0, 115.664137612556, 40.817)","(2434220.0, 125.425000076612, 41.495)","(2485433.0, 138.470632821301, 42.201)","(2539683.0, 153.945682703236, 42.931)","(2596820.0, 170.095312754953, 43.676)","(2656636.0, 182.62224267097, 44.425)","(2718805.0, 202.749853928032, 45.173)","(2783132.0, 231.946284336475, 45.916)","(2849522.0, 251.872465099018, 46.653)","(2918138.0, 294.297951614401, 47.383)","(2989201.0, 434.599493554582, 48.105)","(3063051.0, 479.047217952665, 48.815)","(3139944.0, 432.043111869387, 49.512)","(3219825.0, 469.546197156158, 50.197)","(3302636.0, 496.804129927674, 50.867)","(3388631.0, 574.847932493527, 51.518)","(3478093.0, 659.448135620984, 52.145)","(3571209.0, 712.91907247653, 52.735)","(3668102.0, 681.024778119215, 53.276)","(3768489.0, 628.523784873151, 53.763)","(3871490.0, 661.887935863868, 54.197)","(3975950.0, 641.991539902639, 54.581)","(4081022.0, 593.815247277172, 54.925)","(4186499.0, 632.517472403311, 55.242)","(4292575.0, 732.392172836589, 55.548)","(4399320.0, 831.032910189862, 55.855)","(4506996.0, 786.878927114901, 56.168)","(4615843.0, 697.538968503962, 56.492)","(4725543.0, 801.47296469066, 56.823)","(4836216.0, 905.249167956101, 57.152)","(4949053.0, 1005.15195254153, 57.473)","(5065664.0, 1086.29116926266, 57.781)","(5187063.0, 893.773119089875, 58.073)","(5314258.0, 970.09047686243, 58.344)","(5446633.0, 906.360920369276, 58.594)","(5581767.0, 678.896667420302, 58.828)","(5716166.0, 608.281530665367, 59.049)","(5847590.0, 602.186490344582, 59.265)","(5974627.0, 515.684780393696, 59.487)","(6098621.0, 491.834308148948, 59.722)","(6223378.0, 568.246348574007, 59.974)","(6354247.0, 618.036703163199, 60.245)","(6494902.0, 749.186511555671, 60.534)","(6646891.0, 1256.9796475644, 60.836)","(6808503.0, 1401.94944676239, 61.141)","(6976200.0, 1672.95102374034, 61.442)","(7144774.0, 1626.31285454109, 61.739)","(7310512.0, 1949.35118513254, 62.029)","(7472196.0, 2406.91096725754, 62.316)","(7631003.0, 2790.67630344488, 62.604)","(7788388.0, 2729.8887512111, 62.892)","(7946733.0, 2920.78298571159, 63.181)","(8107772.0, 2679.34657921324, 63.466)","(8271766.0, 2509.62963689931, 63.744)","(8438038.0, 2695.24900855956, 64.01)","(8606324.0, 2801.37139302915, 64.263)","(8776119.0, 2829.16708525376, 64.501)","(8947027.0, 2636.8002494333, nan)"
Poland,POL,Europe & Central Asia,"(29637450.0, nan, 67.6804878048781)","(29964000.0, nan, 67.7780487804878)","(30308500.0, nan, 67.4268292682927)","(30712000.0, nan, 68.3756097560976)","(31139450.0, nan, 68.6292682926829)","(31444950.0, nan, 69.4292682926829)","(31681000.0, nan, 69.8268292682927)","(31987155.0, nan, 69.4243902439024)","(32294655.0, nan, 70.219512195122)","(32548300.0, nan, 69.719512195122)","(32664300.0, nan, 69.8682926829268)","(32783500.0, nan, 69.6121951219512)","(33055650.0, nan, 70.6658536585366)","(33357200.0, nan, 70.6634146341463)","(33678899.0, nan, 71.1170731707317)","(34015199.0, nan, 70.5609756097561)","(34356300.0, nan, 70.6560975609756)","(34689050.0, nan, 70.4024390243902)","(34965600.0, nan, 70.3512195121951)","(35247217.0, nan, 70.7512195121951)","(35574150.0, nan, 70.0975609756098)","(35898587.0, nan, 71.0512195121951)","(36230481.0, nan, 71.1024390243903)","(36571808.0, nan, 71.0)","(36904134.0, nan, 70.8)","(37201885.0, nan, 70.5487804878049)","(37456119.0, nan, 70.8487804878049)","(37668045.0, nan, 70.8975609756098)","(37824487.0, nan, 71.3317073170732)","(37961529.0, nan, 71.0439024390244)","(38110782.0, 1731.20953112388, 70.890243902439)","(38246193.0, 2235.54108862522, 70.5878048780488)","(38363667.0, 2459.02068468253, 71.090243902439)","(38461408.0, 2497.19524116689, 71.5951219512195)","(38542652.0, 2874.8253108452, 71.6951219512195)","(38594998.0, 3686.81929987805, 71.8926829268293)","(38624370.0, 4147.46550145483, 72.2463414634146)","(38649660.0, 4123.13561806773, 72.6463414634146)","(38663481.0, 4518.10822630174, 72.9975609756098)","(38660271.0, 4398.08104335996, 73.0439024390244)","(38258629.0, 4501.45406742273, 73.7487804878049)","(38248076.0, 4991.24435799511, 74.2)","(38230364.0, 5207.17142069402, 74.4975609756098)","(38204570.0, 5701.6022116161, 74.5975609756098)","(38182222.0, 6681.38647195042, 74.8463414634146)","(38165445.0, 8021.50574346795, 74.9951219512195)","(38141267.0, 9035.41046744936, 75.1439024390244)","(38120560.0, 11254.5173881254, 75.2439024390244)","(38125759.0, 13996.0251506835, 75.5439024390244)","(38151603.0, 11526.0558884824, 75.6951219512195)","(38042794.0, 12613.0109954681, 76.2463414634146)","(38063255.0, 13879.5609852546, 76.6951219512195)","(38063164.0, 13097.2708482174, 76.7463414634146)","(38040196.0, 13696.4663046143, 77.0)","(38011735.0, 14271.3058536202, 77.6024390243903)","(37986412.0, 12578.4954734362, 77.4512195121951)","(37970087.0, 12447.4395912808, 77.8512195121951)","(37974826.0, 13864.6817579973, 77.7536585365854)","(37974750.0, 15468.4094107719, 77.6024390243903)","(37965475.0, 15694.8408238857, 77.8560975609756)","(37950802.0, 15656.1827308666, nan)"
Puerto Rico,PRI,Latin America & Caribbean,"(2358000.0, 717.514843087362, 68.7196097560976)","(2399722.0, 777.215027407341, 68.9431707317073)","(2450322.0, 854.74480496849, 69.1454390243903)","(2504530.0, 931.751665981242, 69.356)","(2554066.0, 1006.43444609497, 69.5932926829268)","(2594000.0, 1110.83269082498, 69.870756097561)","(2624995.0, 1207.81182440348, 70.1867073170732)","(2645674.0, 1335.27411162524, 70.523512195122)","(2662064.0, 1480.69317642251, 70.8641463414634)","(2684150.0, 1661.86688523369, 71.2026097560976)","(2718000.0, 1852.35467255335, 71.5355365853659)","(2762190.0, 2044.31990558216, 71.8590975609756)","(2817256.0, 2246.4767135113, 72.1694634146342)","(2878786.0, 2432.41421904928, 72.4647317073171)","(2939299.0, 2614.50094053038, 72.7379024390244)","(2994000.0, 2738.24315297261, 72.9824634146342)","(3043854.0, 2946.46195251152, 73.1908292682927)","(3088690.0, 3208.77135614128, 73.3613170731707)","(3129421.0, 3567.7526290007, 73.4987317073171)","(3168088.0, 4024.50942019287, 73.6064390243902)","(3206000.0, 4502.8384279476, 73.700243902439)","(3242552.0, 4920.72293674859, 73.7974634146342)","(3277453.0, 5115.00851423346, 73.9085853658537)","(3311138.0, 5217.72272856039, 74.0366341463415)","(3344190.0, 5730.11700890201, 74.1776341463415)","(3377000.0, 6008.05448623038, 74.3091951219512)","(3409554.0, 6455.18446107614, 74.4003902439025)","(3441850.0, 6980.49014338219, 74.4309756097561)","(3473898.0, 7595.44465611829, 74.3940975609756)","(3505650.0, 8033.08944133042, 74.2989512195122)","(3537000.0, 8652.50749222505, 74.1691707317073)","(3562110.0, 9064.01851711486, 74.0388048780488)","(3585176.0, 9659.33889995916, 73.9463658536585)","(3615497.0, 10212.2767630564, 73.9208780487805)","(3649237.0, 10876.4188239898, 73.9769024390244)","(3683103.0, 11579.1849969985, 74.1245609756098)","(3724655.0, 12173.163688986, 74.3614634146342)","(3759430.0, 12817.6449621352, 74.6640487804878)","(3781101.0, 14304.4049868015, 75.0072926829268)","(3800081.0, 15220.9913420267, 75.375487804878)","(3810605.0, 16192.1269719638, 76.6892682926829)","(3818774.0, 18123.1987019918, 77.0668292682927)","(3823701.0, 18731.4593897378, 77.7604878048781)","(3826095.0, 19557.1202492358, 78.0712195121951)","(3826878.0, 20988.9923326534, 78.1758536585366)","(3821362.0, 21959.322696986, 78.2960975609756)","(3805214.0, 22935.9411586313, 78.4163414634146)","(3782995.0, 23664.8823485096, 78.4258536585366)","(3760866.0, 24898.3345857045, 77.9629268292683)","(3740410.0, 25768.7258883384, 78.191)","(3721525.0, 26435.74878578, 78.4190975609756)","(3678732.0, 27278.8830499205, 78.6406585365854)","(3634488.0, 27944.7338937424, 78.8475853658537)","(3593077.0, 28513.1657351067, 79.0343414634146)","(3534874.0, 28981.4573305866, 79.2024634146342)","(3473232.0, 29763.4883013861, 79.353487804878)","(3406672.0, 30627.1634017011, 79.4949756097561)","(3325286.0, 31108.7527508912, 79.6345365853659)","(3193354.0, 31604.7015144578, 79.7781951219512)","(3193694.0, 32850.5486123592, 79.928512195122)","(3194034.0, 32290.9211360931, nan)"
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,"(11424189.0, nan, 51.297)","(11665592.0, nan, 51.674)","(11871726.0, nan, 52.076)","(12065468.0, nan, 52.61)","(12282417.0, nan, 53.335)","(12547524.0, nan, 54.264)","(12864947.0, nan, 55.356)","(13222703.0, nan, 56.506)","(13609976.0, nan, 57.625)","(14010339.0, nan, 58.681)","(14410391.0, nan, 59.656)","(14809518.0, nan, 60.549)","(15207765.0, nan, 61.379)","(15593353.0, nan, 62.161)","(15952077.0, nan, 62.896)","(16274737.0, nan, 63.579)","(16554744.0, nan, 64.206)","(16796568.0, nan, 64.776)","(17015984.0, nan, 65.294)","(17235668.0, nan, 65.762)","(17472144.0, nan, 66.186)","(17731229.0, nan, 66.571)","(18008568.0, nan, 66.924)","(18298212.0, nan, 67.255)","(18590142.0, nan, 67.569)","(18877226.0, nan, 67.9)","(19156791.0, nan, 68.284)","(19431992.0, nan, 68.719)","(19708316.0, nan, 69.177)","(19993757.0, nan, 69.611)","(20293057.0, nan, 69.896)","(20609151.0, nan, 69.879)","(20937407.0, nan, 69.492)","(21265832.0, nan, 68.742)","(21577979.0, nan, 67.698)","(21862300.0, nan, 66.537)","(22113428.0, nan, 65.495)","(22335263.0, nan, 64.772)","(22536754.0, nan, 64.493)","(22731470.0, nan, 64.684)","(22929078.0, nan, 65.268)","(23132982.0, nan, 66.087)","(23339453.0, nan, 66.925)","(23542434.0, nan, 67.615)","(23732740.0, nan, 68.102)","(23904167.0, nan, 68.389)","(24054866.0, nan, 68.54)","(24188330.0, nan, 68.675)","(24310143.0, nan, 68.884)","(24428340.0, nan, 69.185)","(24548840.0, nan, 69.571)","(24673392.0, nan, 70.012)","(24800638.0, nan, 70.454)","(24929500.0, nan, 70.853)","(25057793.0, nan, 71.198)","(25183832.0, nan, 71.481)","(25307665.0, nan, 71.711)","(25429816.0, nan, 71.91)","(25549606.0, nan, 72.095)","(25666158.0, nan, 72.274)","(25778815.0, nan, nan)"
Portugal,PRT,Europe & Central Asia,"(8857716.0, 360.499298506858, 63.2729024390244)","(8929316.0, 382.729946994368, 63.6863658536585)","(8993985.0, 407.852843612372, 64.0952195121951)","(9030355.0, 432.511729575075, 64.496512195122)","(9035365.0, 468.781081635443, 64.8912682926829)","(8998595.0, 520.910659367884, 65.2800487804878)","(8930990.0, 575.007680668221, 65.6634634146342)","(8874520.0, 646.82272006084, 66.0455365853659)","(8836650.0, 719.08049185329, 66.4272926829268)","(8757705.0, 795.759371391099, 66.8127073170732)","(8680431.0, 4.65903934087777, 67.0731707317073)","(8643756.0, 5.31139569337145, 66.7707317073171)","(8630430.0, 6.49366110327826, 68.3243902439024)","(8633100.0, 8.72027763770258, 67.5243902439024)","(8754365.0, 9.97525697431, 68.019512195122)","(9093470.0, 10.6162265191096, 68.309756097561)","(9355810.0, 10.8415863518136, 68.8609756097561)","(9455675.0, 11.3081403957523, 70.0121951219512)","(9558250.0, 12.2593479437568, 70.3170731707317)","(9661265.0, 13.7433516580878, 71.1682926829268)","(9766312.0, 16.8007454210237, 71.2146341463415)","(9851362.0, 16.1912767504362, 71.6146341463415)","(9911771.0, 15.3622851451967, 72.4146341463415)","(9957865.0, 13.6453749521641, 72.2658536585366)","(9996232.0, 12.5835508751576, 72.5146341463415)","(10023613.0, 13.4930486813706, 72.8146341463415)","(10032734.0, 19.2623994179729, 73.2658536585366)","(10030031.0, 23.9609511616579, 73.6658536585366)","(10019610.0, 28.0493545390739, 73.7146341463415)","(10005000.0, 30.2091612168331, 74.2658536585366)","(9983218.0, 39.3305158260688, 73.9658536585366)","(9960235.0, 44.6888936304239, 74.0146341463415)","(9952494.0, 53.9255727792817, 74.3121951219512)","(9964675.0, 47.560566113246, 74.5121951219512)","(9991525.0, 49.7685565034513, 74.9146341463415)","(10026176.0, 58.7643120966711, 75.3121951219512)","(10063945.0, 60.7818125080459, 75.2609756097561)","(10108977.0, 57.7413712405023, 75.4121951219512)","(10160196.0, 60.8522731711371, 75.7121951219512)","(10217828.0, 12475.2917701476, 75.9634146341463)","(10289898.0, 11526.3720667968, 76.3146341463415)","(10362722.0, 11734.7649743954, 76.8146341463415)","(10419631.0, 12936.6928204482, 77.0658536585366)","(10458821.0, 15797.7821340276, 77.219512195122)","(10483861.0, 18064.1580932987, 77.6707317073171)","(10503330.0, 18780.12751241, 78.0707317073171)","(10522288.0, 19839.4540499032, 78.419512195122)","(10542964.0, 22811.0564844365, 78.3219512195122)","(10558177.0, 24949.0413566739, 78.5243902439025)","(10568247.0, 23151.2154130712, 78.7268292682927)","(10573100.0, 22520.6423124045, 79.0268292682927)","(10557560.0, 23217.2954965207, 80.4707317073171)","(10514844.0, 20563.7136012629, 80.3731707317073)","(10457295.0, 21653.1959752225, 80.7219512195122)","(10401062.0, 22103.7009703321, 81.1219512195122)","(10358076.0, 19250.1065376852, 81.1243902439025)","(10325452.0, 19991.9724878805, 81.1243902439025)","(10300300.0, 21490.429863104, 81.4243902439025)","(10283822.0, 23562.5545228191, 81.3243902439024)","(10286263.0, 23284.5272329002, 80.6829268292683)","(10305564.0, 22439.8768739626, nan)"
Paraguay,PRY,Latin America & Caribbean,"(1903990.0, nan, 63.881)","(1954552.0, nan, 64.105)","(2006675.0, nan, 64.314)","(2060340.0, nan, 64.5)","(2115573.0, nan, 64.659)","(2172309.0, 204.200830354844, 64.793)","(2230733.0, 208.850135309286, 64.908)","(2290797.0, 215.06689731766, 65.015)","(2351926.0, 220.096547957203, 65.124)","(2413396.0, 230.502433414844, 65.241)","(2474757.0, 240.270503775163, 65.368)","(2535877.0, 262.067690416936, 65.506)","(2597149.0, 296.109188398387, 65.653)","(2659418.0, 374.341959794115, 65.806)","(2723816.0, 489.561481695312, 65.964)","(2791236.0, 541.487941156045, 66.13)","(2861868.0, 593.654325587455, 66.302)","(2935710.0, 712.658515370636, 66.481)","(3013281.0, 849.524867696422, 66.664)","(3095151.0, 1103.91311369874, 66.847)","(3181627.0, 1398.05429787568, 67.026)","(3272922.0, 1718.49982157102, 67.192)","(3368763.0, 1608.72455696821, 67.343)","(3468533.0, 1635.63348717746, 67.479)","(3571275.0, 1260.74379796017, 67.603)","(3676206.0, 892.890451697378, 67.723)","(3783074.0, 984.383055346008, 67.85)","(3891725.0, 1020.38163636987, 67.993)","(4001678.0, 1063.47475442544, 68.157)","(4112396.0, 1156.92462495508, 68.343)","(4223413.0, 1376.16532482782, 68.545)","(4334348.0, 1611.39986057966, 68.753)","(4445019.0, 1610.2122468004, 68.958)","(4555518.0, 1591.37415773709, 69.152)","(4666096.0, 1686.84527811247, 69.335)","(4776838.0, 1897.09834727976, 69.511)","(4887638.0, 2002.68345988885, 69.69)","(4998096.0, 1993.80437631669, 69.88)","(5107840.0, 1812.99366707348, 70.087)","(5216346.0, 1694.11121032211, 70.31)","(5323202.0, 1663.60493919986, 70.546)","(5428442.0, 1565.0542885389, 70.786)","(5531958.0, 1300.85236671095, 71.023)","(5632983.0, 1365.41641811806, 71.249)","(5730556.0, 1679.49511989641, 71.464)","(5824095.0, 1843.634107636, 71.667)","(5913212.0, 2271.08888540796, 71.862)","(5998430.0, 2976.82401447595, 72.055)","(6081296.0, 4047.90979064865, 72.251)","(6163970.0, 3626.81863691006, 72.45)","(6248017.0, 4359.42841539817, 72.653)","(6333981.0, 5329.38743682686, 72.86)","(6421510.0, 5185.14154871279, 73.068)","(6510273.0, 5936.97595902248, 73.274)","(6599524.0, 6118.31811031962, 73.473)","(6688746.0, 5413.77602061858, 73.662)","(6777878.0, 5324.60906777777, 73.836)","(6867058.0, 5678.8699722, 73.992)","(6956069.0, 5782.78454981286, 74.131)","(7044639.0, 5380.9633218413, 74.254)","(7132530.0, 4949.74970033259, nan)"
West Bank and Gaza,PSE,Middle East & North Africa,"(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(1978248.0, nan, 68.048)","(2068845.0, nan, 68.433)","(2163591.0, nan, 68.795)","(2262676.0, nan, 69.135)","(2366298.0, 1201.58154213882, 69.455)","(2474666.0, 1326.56285737146, 69.757)","(2587997.0, 1317.46675131385, 70.041)","(2706518.0, 1389.16497137651, 70.309)","(2776568.0, 1465.04605685868, 70.56)","(2848431.0, 1499.49217657019, 70.797)","(2922153.0, 1476.17185000238, 71.022)","(2997784.0, 1335.55319529359, 71.239)","(3075373.0, 1156.21747345769, 71.447)","(3154969.0, 1257.69857009689, 71.648)","(3236626.0, 1422.19088643544, 71.842)","(3320396.0, 1543.70141392774, 72.028)","(3406334.0, 1570.10439962728, 72.203)","(3494496.0, 1664.24571669276, 72.366)","(3591977.0, 2035.20234121766, 72.517)","(3689099.0, 2191.78178736868, 72.656)","(3786161.0, 2557.07562356699, 72.788)","(3882986.0, 2880.79843707909, 72.915)","(3979998.0, 3067.43872735614, 73.041)","(4076708.0, 3315.29753909282, 73.17)","(4173398.0, 3352.11259506043, 73.303)","(4270092.0, 3272.15432360708, 73.442)","(4367088.0, 3527.61382413178, 73.589)","(4454805.0, 3620.36048715937, 73.74)","(4569087.0, 3562.33094270256, 73.895)","(4685306.0, 3656.85827137011, 74.053)","(4803269.0, 3239.73110812657, nan)"
French Polynesia,PYF,East Asia & Pacific,"(78080.0, nan, 56.282)","(80705.0, nan, 56.708)","(83652.0, nan, 57.093)","(86847.0, nan, 57.465)","(90132.0, nan, 57.845)","(93442.0, 1889.242413512, 58.242)","(96719.0, 2229.75273749007, 58.654)","(99990.0, 2210.06469776128, 59.061)","(103329.0, 2512.26738179021, 59.452)","(106814.0, 2274.45631529855, 59.827)","(110490.0, 2299.17638896911, 60.183)","(114385.0, 2593.1153286993, 60.518)","(118438.0, 2751.17153841776, 60.836)","(122641.0, 3516.39421601648, 61.149)","(126919.0, 4375.53073758059, 61.469)","(131229.0, 5260.42075235803, 61.823)","(135559.0, 5401.9736302489, 62.239)","(139893.0, 5669.99912372721, 62.728)","(144273.0, 6969.93404315173, 63.291)","(148734.0, 8169.15954165122, 63.916)","(153298.0, 8885.64445517837, 64.576)","(157954.0, 8103.45332426984, 65.234)","(162679.0, 7907.98223886903, 65.854)","(167456.0, 7977.58985280788, 66.407)","(172249.0, 8005.80208523018, 66.883)","(177024.0, 8514.27365159081, 67.278)","(181807.0, 12659.1094803724, 67.604)","(186588.0, 13630.0252341485, 67.888)","(191260.0, 14051.4108001144, 68.156)","(195728.0, 13470.0273701524, 68.424)","(199906.0, 15913.5108741883, 68.704)","(203716.0, 16038.8364679028, 69.007)","(207238.0, 17169.7039647559, 69.332)","(210644.0, 17539.5472925516, 69.678)","(214196.0, 16444.1554529854, 70.044)","(218064.0, 18262.4130802291, 70.426)","(222323.0, 17788.0690425593, 70.815)","(226854.0, 15724.0450328093, 71.202)","(231562.0, 16303.0238009228, 71.58)","(236217.0, 16074.2709826002, 71.946)","(240681.0, 14324.1183888279, 72.303)","(244929.0, nan, 72.658)","(248976.0, nan, 73.017)","(252707.0, nan, 73.382)","(255995.0, nan, 73.751)","(258780.0, nan, 74.116)","(261007.0, nan, 74.466)","(262717.0, nan, 74.793)","(264064.0, nan, 75.092)","(265256.0, nan, 75.363)","(266449.0, nan, 75.611)","(267702.0, nan, 75.844)","(268995.0, nan, 76.074)","(270332.0, nan, 76.307)","(271713.0, nan, 76.546)","(273119.0, nan, 76.787)","(274576.0, nan, 77.024)","(276108.0, nan, 77.251)","(277673.0, nan, 77.462)","(279285.0, nan, 77.657)","(280904.0, nan, nan)"
Qatar,QAT,Middle East & North Africa,"(47383.0, nan, 61.094)","(51427.0, nan, 61.851)","(56266.0, nan, 62.61)","(61721.0, nan, 63.369)","(67562.0, nan, 64.123)","(73631.0, nan, 64.866)","(79850.0, nan, 65.588)","(86298.0, nan, 66.282)","(93206.0, nan, 66.942)","(100880.0, nan, 67.567)","(109521.0, 2755.55648497824, 68.156)","(119413.0, 3246.71588726519, 68.713)","(130505.0, 3909.88805578694, 69.245)","(142181.0, 5583.6178395175, 69.758)","(153624.0, 15631.6931432644, 70.254)","(164314.0, 15292.5741773572, 70.734)","(173716.0, 18906.1533318148, 71.198)","(182319.0, 19842.0360563657, 71.644)","(191947.0, 21109.9960546446, 72.072)","(205172.0, 27455.0149046849, 72.48)","(223622.0, 35010.3952789566, 72.869)","(247984.0, 34926.7039959685, 73.239)","(277229.0, 27402.267491084, 73.589)","(309299.0, 20910.4533402704, 73.922)","(341272.0, 19645.3146586178, 74.237)","(370886.0, 16590.8027157778, 74.537)","(397739.0, 12704.3663069235, 74.821)","(422154.0, 12901.5209646685, 75.091)","(443611.0, 13611.4456877017, 75.349)","(461688.0, 14052.5898180418, 75.593)","(476275.0, 15454.1796715698, 75.824)","(487354.0, 14124.2638482838, 76.041)","(495403.0, 15434.2100946431, 76.241)","(501479.0, 14270.9737672887, 76.427)","(507044.0, 14544.0055877414, 76.599)","(513447.0, 15849.5657351625, 76.759)","(522531.0, 17337.4218651437, 76.909)","(535320.0, 21104.7637214836, 77.052)","(551566.0, 18593.4140746031, 77.19)","(570486.0, 21723.8142007549, 77.327)","(592467.0, 29976.1676344676, 77.467)","(615013.0, 28517.2208367328, 77.612)","(640872.0, 30214.6704236357, 77.762)","(681791.0, 34517.6032080083, 77.919)","(753332.0, 42124.9408415757, 78.083)","(865410.0, 51455.9509428993, 78.252)","(1022704.0, 59530.5610001944, 78.425)","(1218441.0, 65421.3769169684, 78.601)","(1436670.0, 80234.1908337022, 78.775)","(1654944.0, 59094.6591838465, 78.945)","(1856329.0, 67403.0876779676, 79.108)","(2035862.0, 82409.9416434106, 79.26)","(2196078.0, 85075.9865369665, 79.399)","(2336579.0, 85050.6843463442, 79.527)","(2459202.0, 83858.3404554095, 79.646)","(2565708.0, 63039.1126261242, 79.758)","(2654379.0, 57162.9680076257, 79.868)","(2724727.0, 59124.8672675489, 79.981)","(2781682.0, 65907.9484330735, 80.1)","(2832071.0, 62087.9741348946, 80.227)","(2881060.0, 50805.4635677532, nan)"
